ZIP	Name	Rate
563799467	State. Benton County Transit, St Cloud Area	7.875
563799468	State. Benton County Transit	7.375
563799469	State. Benton County Transit, St Cloud Area	7.875
563799500	State. Benton County Transit	7.375
563799501	State. Benton County Transit	7.375
563799502	State. Benton County Transit, St Cloud Area	7.875
563799503	State. Benton County Transit	7.375
563799512	State. Benton County Transit	7.375
563799513	State. Benton County Transit, St Cloud Area	7.875
563799514	State. Benton County Transit	7.375
563799527	State. Benton County Transit	7.375
563799528	State. Benton County Transit, St Cloud Area	7.875
563799540	State. Benton County Transit, St Cloud Area	7.875
563799541	State. Benton County Transit	7.375
563799542	State. Benton County Transit	7.375
